STT;Tên VB;Số hiệu;Status
62;Luật Điều ước quốc tế;108/2016/QH13;Văn bản còn hiệu lực
63;Luật Tiếp cận thông tin;104/2016/QH13;Văn bản còn hiệu lực
64;Luật Trưng cầu ý dân;96/2015/QH13;Văn bản còn hiệu lực
65;Luật Hộ tịch;60/2014/QH13;Văn bản còn hiệu lực
66;Luật Tiếp công dân;42/2013/QH13;Văn bản còn hiệu lực
67;Luật Hòa giải ở cơ sở;35/2013/QH13;Văn bản còn hiệu lực
68;Luật Phổ biến, giáo dục pháp luật;14/2012/QH13;Văn bản còn hiệu lực
69;Luật Cơ yếu;05/2011/QH13;Văn bản còn hiệu lực
70;Luật Thuế bảo vệ môi trường;57/2010/QH12;Văn bản còn hiệu lực
71;Luật Bưu chính;49/2010/QH12;Văn bản còn hiệu lực
72;Luật Nuôi con nuôi;52/2010/QH12;Văn bản còn hiệu lực
73;Luật Hoạt động chữ thập đỏ;11/2008/QH12;Văn bản còn hiệu lực
74;Luật Bình đẳng giới;73/2006/QH11;Văn bản còn hiệu lực
75;Luật hiến, lấy, ghép mô, bộ phận cơ thể người và hiến, lấy xác;75/2006/QH11;Văn bản còn hiệu lực
76;Luật Các công cụ chuyển nhượng;49/2005/QH11;Văn bản còn hiệu lực
77;Luật Thuế Sử dụng Đất Nông nghiệp;23-L/CTN;Văn bản còn hiệu lực
78;Luật Bảo vệ sức khoẻ nhân dân;21-LCT/HĐNN8;Văn bản còn hiệu lực
79;Luật về Chế độ báo chí;100-SL/L.002;Văn bản còn hiệu lực
80;Luật Quy định quyền lập hội;102-SL/L.004;Văn bản còn hiệu lực
81;Luật Ban hành văn bản quy phạm pháp luật;64/2025/QH15;Văn bản bị sửa đổi
82;Luật Thuế giá trị gia tăng;48/2024/QH15;Văn bản bị sửa đổi
83;Luật sửa đổi, bổ sung một số điều của Luật Sĩ quan quân đội nhân dân Việt Nam;52/2024/QH15;Văn bản bị sửa đổi
84;Luật Phòng không nhân dân;49/2024/QH15;Văn bản bị sửa đổi
85;Luật Các tổ chức tín dụng;32/2024/QH15;Văn bản bị sửa đổi
86;Luật Quản lý, bảo vệ công trình quốc phòng và khu quân sự;25/2023/QH15;Văn bản bị sửa đổi
87;Luật Viễn thông;24/2023/QH15;Văn bản bị sửa đổi
88;Luật sửa đổi, bổ sung một số điều của Luật Công an nhân dân;21/2023/QH15;Văn bản bị sửa đổi
89;Luật sửa đổi, bổ sung một số điều của Luật Tần số vô tuyến điện;09/2022/QH15;Văn bản bị sửa đổi
90;Luật sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự;02/2021/QH15;Văn bản bị sửa đổi
91;Luật Phòng, chống ma túy;73/2021/QH14;Văn bản bị sửa đổi
92;Luật Biên phòng Việt Nam;66/2020/QH14;Văn bản bị sửa đổi
