No.,file_name,law_type,year,law_name,Số hiệu,lĩnh_vực,status,file_path,file_type,"SỬA ĐỔI, BỔ SUNG",_so_hieu_key,CHECK_META_IN_AUTH,CHECK_AUTH_IN_META,RECORD_TYPE,IN_AUTHORITATIVE
230,Luật-70-2025-QH15,LUẬT,2025,"Luật Sửa Đổi, Bổ Sung Một Số Điều Của Luật Tiêu Chuẩn Và Quy Chuẩn Kỹ Thuật",70/2025/QH15,economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-70-2025-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",70/2025/QH15,OK,,METADATA_ROW,True
231,Luật-71-2014-QH13,LUẬT,2014,"Luật Sửa Đổi, Bổ Sung Một Số Điều Của Các Luật Về Thuế",71/2014/QH13,economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-71-2014-QH13.docx,.docx,"SỬA ĐỔI, BỔ SUNG",71/2014/QH13,OK,,METADATA_ROW,True
232,Luật-71-2020-QH14,LUẬT,2020,"Luật Sửa Đổi, Bổ Sung Một Số Điều Của Luật Phòng, Chống Nhiễm Vi Rút Gây Ra Hội Chứng Suy Giảm Miễn Dịch Mắc Phải Ở Người (Hiv/Aids)",71/2020/QH14,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-71-2020-QH14.docx,.docx,"SỬA ĐỔI, BỔ SUNG",71/2020/QH14,OK,,METADATA_ROW,True
233,Luật-71-2025-QH15,LUẬT,2025,Luật Công Nghiệp Công Nghệ Số,71/2025/QH15,economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-71-2025-QH15.docx,.docx,,71/2025/QH15,OK,,METADATA_ROW,True
234,Luật-72-2014-QH13,LUẬT,2014,"Luật Sửa Đổi, Bổ Sung Một Số Điều Của Luật SĨ QUAN QUÂN ĐỘI NHÂN DÂN VIỆT NAM",72/2014/QH13,non-economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-72-2014-QH13.docx,.docx,"SỬA ĐỔI, BỔ SUNG",72/2014/QH13,OK,,METADATA_ROW,True
235,Luật-72-2020-QH14,LUẬT,2020,Luật Bảo Vệ Môi Trường,72/2020/QH14,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-72-2020-QH14.docx,.docx,,72/2020/QH14,OK,,METADATA_ROW,True
236,Luật-72-2025-QH15,LUẬT,2025,Luật Tổ Chức Chính Quyền Địa Phương,72/2025/QH15,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-72-2025-QH15.docx,.docx,,72/2025/QH15,OK,,METADATA_ROW,True
237,Luật-73-2006-QH11,LUẬT,2006,Luật Bình Đẳng Giới,73/2006/QH11,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-73-2006-QH11.docx,.docx,,73/2006/QH11,OK,,METADATA_ROW,True
238,Luật-73-2021-QH14,LUẬT,2021,"Luật Phòng, Chống Ma Túy",73/2021/QH14,non-economics,Văn bản bị sửa đổi,D:\Github\KLTN\application\inputs\full_law\Luật-73-2021-QH14.docx,.docx,,73/2021/QH14,OK,,METADATA_ROW,True
239,Luật-73-2025-QH15,LUẬT,2025,Luật Nhà Giáo,73/2025/QH15,non-economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-73-2025-QH15.docx,.docx,,73/2025/QH15,OK,,METADATA_ROW,True
240,Luật-74-2014-QH13,LUẬT,2014,Luật Giáo Dục Nghề Nghiệp,74/2014/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-74-2014-QH13.docx,.docx,,74/2014/QH13,OK,,METADATA_ROW,True
241,Luật-74-2025-QH15,LUẬT,2025,Luật Việc Làm,74/2025/QH15,economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-74-2025-QH15.docx,.docx,,74/2025/QH15,OK,,METADATA_ROW,True
242,Luật-75-2006-QH11,LUẬT,2006,"Luật Hiến, Lấy, Ghép Mô, Bộ Phận CƠ THỂ NGƯỜI VÀ HIẾN, LẤY XÁC",75/2006/QH11,non-economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-75-2006-QH11.docx,.docx,,75/2006/QH11,OK,,METADATA_ROW,True
243,Luật-75-2015-QH13,LUẬT,2015,Luật Mặt Trận Tổ Quốc Việt Nam,75/2015/QH13,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-75-2015-QH13.docx,.docx,,75/2015/QH13,OK,,METADATA_ROW,True
244,Luật-75-2025-QH15,LUẬT,2025,"Luật Sửa Đổi, Bổ Sung Một Số Điều Của Luật Quảng Cáo",75/2025/QH15,economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-75-2025-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",75/2025/QH15,OK,,METADATA_ROW,True
245,Luật-76-2025-QH15,LUẬT,2025,"Luật Sửa Đổi, Bổ Sung Một Số Điều Của Luật Doanh Nghiệp",76/2025/QH15,economics,Văn bản còn hiệu lực,D:\Github\KLTN\application\inputs\full_law\Luật-76-2025-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",76/2025/QH15,OK,,METADATA_ROW,True
246,Luật-77-2006-QH11,LUẬT,2006,"Luật Thể Dục, Thể Thao",77/2006/QH11,non-economics,Văn bản hết hiệu lực một phần,D:\Github\KLTN\application\inputs\full_law\Luật-77-2006-QH11.docx,.docx,,77/2006/QH11,OK,,METADATA_ROW,True
247,Luật-77-2025-QH15,LUẬT,2025,"Luật SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA LUẬT SỬ DỤNG NĂNG LƯỢNG TIẾT KIỆM VÀ HIỆU QUẢ",77/2025/QH15,economics,Văn bản chưa áp dụng,D:\Github\KLTN\application\inputs\full_law\Luật-77-2025-QH15.docx,.docx,"SỬA ĐỔI, BỔ SUNG",77/2025/QH15,OK,,METADATA_ROW,True
